color_id,color
ECLR7AC469,LIGHT PINK
ECLRC0FF09,DARK OLIVE
ECLREC6E8E,SKY BLUE
ECLR8D3E15,DARK GREEN
ECLRAB262D,LIGHT BROWN
ECLR518588,DARK PURPLE
ECLR5E4A65,BLACK
ECLREDE5BD,BLUEBERRY
ECLR163C59,LIGHT YELLOW
ECLRAA7362,BEIGE
ECLR1108AE,GREEN ARMY
ECLRF96ACE,DARK BLUE
ECLR972714,MAROON
ECLRAC652C,Tidak ada spesifikasi warna
ECLR903154,DARK GREY
ECLR0D30B9,PURPLE
ECLRB40366,EMERALD GREEN
ECLR4CEC72,FUCHSIA
ECLR9BAF23,PINK
ECLR739363,CREAM
ECLR55CFF5,NAVY
ECLRCC01E6,RED
ECLRA39C8D,LIGHT BLUE
ECLREAF723,LIGHT PURPLE
ECLR138E5E,CURRY
ECLR215F47,SALMON
ECLR952ECF,LIME
ECLR7B12A0,GREEN
ECLR9478A0,DARK SALEM
ECLR20695F,BLUE
ECLRCE29C4,BROWN
ECLR417205,MINT GREEN
ECLR64CBE6,LIGHT GREY
ECLRB4934C,OLIVE
ECLRAC7B95,GREY
ECLRA9C7CB,DARK ORANGE
ECLRE6DDC0,ORANGE
ECLR2C2AD1,YELLOW
ECLR6BD74D,DARK BROWN
ECLR9C1828,LIGHT GREEN
ECLREF690C,GOLD
