product_id,name_product
ETWS885,EXSPORT SCHOLAR BACKPACK TWO TONE 
ETWS673,EXSPORT POCA CARD WALLET 
ETWS177,EXSPORT ALL SET MULTIPURPOSE POUCH 
ETWS403,EXSPORT BASIC HALF MOON MINI SLING BAG 
ETWS831,EXSPORT BASIC HALF MOON SLING BAG L 
ETWS039,EXSPORT JOYFUL PACK BUNDLE
ETWS980,EXSPORT FESTIVE PACK BUNDLE
ETWS315,EXSPORT SPARKS PACK BUNDLE
ETWS163,EXSPORT RETURN PACK BUNDLE
ETWS752,EXSPORT HOMECOMING PACK BUNDLE
ETWS263,EXSPORT CLASSIC RR01 1979 BACKPACK 
ETWS756,EXSPORT EVERYDAY LAPTOP COMPARTMENT BAG 
ETWS205,EXSPORT EASY GOING MINI BACKPACK 
ETWS629,EXSPORT KUMARA TOTE BAG 
ETWS362,EXSPORT DAILY CARRY HAND BAG 
ETWS097,EXSPORT FLOW AND GO 102 TOTE BAG 
ETWS663,EXSPORT EVERYDAY LANYARD 
ETWS426,EXSPORT SHOULDER PADS EXTENSION 
ETWS139,EXSPORT SQUARE COIN POUCH 
ETWS017,EXSPORT DAILY LAPTOP HANDBAG 
ETWS149,EXSPORT FLEUR
ETWS748,EXSPORT GO ACTIVE MINI SLING BAG 
ETWS753,EXSPORT BASIC CUBICAL SLING POUCH 
ETWS598,EXSPORT TRIANGLE COIN POUCH 
ETWS805,EXSPORT BIMBLE COIN POUCH 
ETWS998,TAS EXSPORT BIMBLE COIN POUCH 
ETWS616,TAS EXSPORT BASIC TWO WAY CARRY 
ETWS690,TAS EXSPORT REROUND MINI SLING BAG 
ETWS883,TAS EXSPORT HANDLE MULTIPURPOSE POUCH 
ETWS509,TAS EXSPORT GO ACTIVE SLING BAG 
ETWS513,TAS EXSPORT EVERYDAY LAPTOP SLING BAG 
ETWS309,TAS EXSPORT MICRO TWO WAY CARRY 
ETWS069,TAS EXSPORT JUMPER MINI SLING BAG 
ETWS735,TAS EXSPORT MINGLE MINI SLING BAG 
ETWS735,TIMELESS BLOOM STICKER SHEET
ETWS957,PARTYING LIKE IT'S 1979 STICKER SHEET
ETWS846,EXSPORT LEGACY 45TH KEY CHARM
ETWS143,EXSPORT LEGACY 45TH T
ETWS289,TAS EXSPORT JUMPER RUCKSACK PLAID 
ETWS818,TAS EXSPORT CLASSIC RR01 1979 BACKPACK PLAID 
ETWS665,EXSPORT SPECIAL RANDOM GIFT 
ETWS413,TAS COIN EXSPORT ROUND COIN POUCH 
ETWS899,TAS BACKPACK EXSPORT WEEKENDER RUCKSACK 
ETWS416,TAS RANSEL EXSPORT CHIMO TWO WAY CARRY BACKPACK 
ETWS088,TAS RANSE LEXSPORT CHIMO TWO WAY CARRY BACKPACK 
ETWS497,TAS EXSPORT CLASSIC RR01 1979 MINI BACKPACK 
ETWS603,TAS EXSPORT ALL DAY 102 LAPTOP BACKPACK 
ETWS975,TAS EXSPORT GO AROUND TOTE BAG 
ETWS684,TAS EXSPORT DAILY JOURNEY LAPTOP TOTE BAG 
ETWS471,TAS EXSPORT DAILY LAPTOP HANDBAG 
ETWS205,TAS SELEMPANG EXSPORT MINGLE MINI SLING BAG 
ETWS881,TAS EXSPORT ATLAS MINI RUCKSACK 
ETWS696,TAS EXSPORT JUMPER SLING BAG 
ETWS613,TAS RANSEL EXSPORT CITY HUSTLER LAPTOP BACKPACK 
ETWS798,TAS EXSPORT KUMARA TOTE BAG 
ETWS627,TAS EXSPORT CLASSIC RR01 1979 BACKPACK XL
ETWS409,EXSPORT TRIFOLD WALLET 
ETWS082,TAS EXSPORT OUTGOING TOTE BAG 
ETWS939,EXSPORT RAIN COVER TAS 
ETWS303,TAS EXSPORT MICRO CLASSIC RR01 POUCH 
ETWS361,TAS EXSPORT TAKE A TRIP FOLDABLE BACKPACK 
ETWS533,TAS EXSPORT CARRY ON POUCH 2 
ETWS456,TAS EXSPORT BASIC CUBICAL SLING POUCH 
ETWS564,TAS EXSPORT EVERYDAY LAPTOP COMPARTMENT BAG 14 INCH 
ETWS330,TAS EXSPORT HUSTLER LAPTOP SLING BAG 
ETWS501,TAS RANSEL EXSPORT JUMPER RUCKSACK 
ETWS130,TAS EXSPORT JUNIOR PLUS BACKPACK 
ETWS965,TAS EXSPORT JUNIOR TWO TONE BACKPACK 
