product_id,color_id,price_original,price_sale,discount,sold,rating
ETWS885,ECLR919,639000,639000,No Discount,0,No Rating
ETWS885,ECLR596,639000,639000,No Discount,0,No Rating
ETWS673,ECLR919,159000,159000,No Discount,0,No Rating
ETWS673,ECLR596,159000,159000,No Discount,0,No Rating
ETWS673,ECLR821,159000,159000,No Discount,0,No Rating
ETWS177,ECLR102,149000,141550,5%,0,No Rating
ETWS177,ECLR684,149000,141550,5%,0,No Rating
ETWS177,ECLR684,149000,141550,5%,0,No Rating
ETWS177,ECLR600,149000,141550,5%,1,No Rating
ETWS177,ECLR004,149000,141550,5%,0,No Rating
ETWS403,ECLR780,179000,170050,5%,0,No Rating
ETWS403,ECLR754,179000,170050,5%,0,No Rating
ETWS403,ECLR699,179000,170050,5%,0,No Rating
ETWS403,ECLR004,179000,170050,5%,2,5.0
ETWS831,ECLR699,249000,236550,5%,0,No Rating
ETWS831,ECLR854,249000,236550,5%,0,No Rating
ETWS831,ECLR937,249000,236550,5%,0,No Rating
ETWS831,ECLR653,249000,236550,5%,0,No Rating
ETWS039,ECLR848,668000,499000,25%,0,No Rating
ETWS980,ECLR848,938000,749000,20%,1,No Rating
ETWS315,ECLR848,338000,269000,20%,0,No Rating
ETWS163,ECLR848,938000,749000,20%,0,No Rating
ETWS752,ECLR848,668000,499000,25%,0,No Rating
ETWS263,ECLR919,449000,426550,5%,0,No Rating
ETWS263,ECLR970,449000,426550,5%,0,No Rating
ETWS756,ECLR754,329000,312550,5%,0,No Rating
ETWS756,ECLR596,329000,312550,5%,0,No Rating
ETWS756,ECLR813,329000,312550,5%,0,No Rating
ETWS205,ECLR919,299000,284050,5%,0,No Rating
ETWS205,ECLR684,299000,284050,5%,0,No Rating
ETWS205,ECLR684,299000,284050,5%,0,No Rating
ETWS629,ECLR699,319000,303050,5%,0,No Rating
ETWS629,ECLR653,319000,303050,5%,0,No Rating
ETWS362,ECLR100,129000,122550,5%,0,No Rating
ETWS362,ECLR307,129000,122550,5%,0,No Rating
ETWS362,ECLR095,129000,122550,5%,0,No Rating
ETWS362,ECLR780,129000,122550,5%,0,No Rating
ETWS362,ECLR305,129000,122550,5%,0,No Rating
ETWS362,ECLR684,129000,122550,5%,0,No Rating
ETWS362,ECLR684,129000,122550,5%,0,No Rating
ETWS097,ECLR653,549000,521550,5%,0,No Rating
ETWS097,ECLR699,549000,521550,5%,0,No Rating
ETWS097,ECLR937,549000,521550,5%,0,No Rating
ETWS097,ECLR004,549000,521550,5%,0,No Rating
ETWS663,ECLR596,179000,170050,5%,0,No Rating
ETWS663,ECLR780,179000,170050,5%,0,No Rating
ETWS663,ECLR684,179000,170050,5%,0,No Rating
ETWS663,ECLR684,179000,170050,5%,0,No Rating
ETWS663,ECLR919,179000,170050,5%,0,No Rating
ETWS663,ECLR126,179000,170050,5%,0,No Rating
ETWS426,ECLR699,169000,160550,5%,0,No Rating
ETWS426,ECLR653,169000,160550,5%,0,No Rating
ETWS426,ECLR115,169000,160550,5%,0,No Rating
ETWS426,ECLR684,169000,160550,5%,0,No Rating
ETWS426,ECLR684,169000,160550,5%,0,No Rating
ETWS426,ECLR004,169000,160550,5%,0,No Rating
ETWS139,ECLR684,99000,94050,5%,1,5.0
ETWS139,ECLR684,99000,94050,5%,1,5.0
ETWS139,ECLR754,99000,94050,5%,0,No Rating
ETWS139,ECLR813,99000,94050,5%,1,No Rating
ETWS017,ECLR780,389000,369550,5%,0,No Rating
ETWS017,ECLR684,389000,369550,5%,0,No Rating
ETWS017,ECLR684,389000,369550,5%,0,No Rating
ETWS017,ECLR596,389000,369550,5%,0,No Rating
ETWS149,ECLR095,469000,445550,5%,0,No Rating
ETWS149,ECLR780,469000,445550,5%,0,No Rating
ETWS748,ECLR919,209000,198550,5%,0,No Rating
ETWS748,ECLR813,209000,198550,5%,0,No Rating
ETWS748,ECLR126,209000,198550,5%,1,No Rating
ETWS753,ECLR754,179000,170050,5%,0,No Rating
ETWS753,ECLR684,179000,170050,5%,0,No Rating
ETWS753,ECLR684,179000,170050,5%,0,No Rating
ETWS753,ECLR813,179000,170050,5%,0,No Rating
ETWS753,ECLR126,179000,170050,5%,0,No Rating
ETWS598,ECLR305,79000,75050,5%,2,4.0
ETWS805,ECLR685,79000,79000,No Discount,0,No Rating
ETWS805,ECLR684,79000,75050,5%,0,No Rating
ETWS805,ECLR684,79000,75050,5%,0,No Rating
ETWS998,ECLR919,79000,75050,5%,0,No Rating
ETWS998,ECLR126,79000,75050,5%,1,No Rating
ETWS616,ECLR780,219000,208050,5%,0,No Rating
ETWS616,ECLR699,219000,208050,5%,0,No Rating
ETWS690,ECLR780,259000,246050,5%,2,5.0
ETWS690,ECLR699,259000,246050,5%,1,5.0
ETWS690,ECLR004,259000,246050,5%,1,5.0
ETWS690,ECLR919,259000,246050,5%,0,No Rating
ETWS883,ECLR919,209000,198550,5%,2,5.0
ETWS883,ECLR456,209000,198550,5%,1,5.0
ETWS509,ECLR684,299000,284050,5%,1,No Rating
ETWS509,ECLR684,299000,284050,5%,1,No Rating
ETWS509,ECLR780,299000,284050,5%,0,No Rating
ETWS509,ECLR919,299000,284050,5%,0,No Rating
ETWS513,ECLR780,389000,369550,5%,1,No Rating
ETWS513,ECLR596,389000,369550,5%,0,No Rating
ETWS309,ECLR684,209000,198550,5%,2,No Rating
ETWS309,ECLR684,209000,198550,5%,2,No Rating
ETWS309,ECLR456,209000,198550,5%,3,5.0
ETWS309,ECLR126,209000,198550,5%,1,No Rating
ETWS069,ECLR754,209000,198550,5%,1,5.0
ETWS069,ECLR126,209000,198550,5%,0,No Rating
ETWS069,ECLR004,209000,198550,5%,3,5.0
ETWS735,ECLR684,209000,198550,5%,0,No Rating
ETWS735,ECLR684,209000,198550,5%,0,No Rating
ETWS735,ECLR919,209000,198550,5%,1,5.0
ETWS735,ECLR754,209000,198550,5%,0,No Rating
ETWS735,ECLR813,209000,198550,5%,0,No Rating
ETWS735,ECLR126,209000,198550,5%,0,No Rating
ETWS735,ECLR848,25000,25000,No Discount,0,No Rating
ETWS957,ECLR848,25000,25000,No Discount,0,No Rating
ETWS846,ECLR848,85000,85000,No Discount,30,5.0
ETWS143,ECLR848,245000,232750,5%,0,No Rating
ETWS143,ECLR848,245000,232750,5%,1,No Rating
ETWS289,ECLR596,499000,474050,5%,0,No Rating
ETWS289,ECLR937,499000,474050,5%,0,No Rating
ETWS289,ECLR699,499000,474050,5%,2,5.0
ETWS289,ECLR653,499000,474050,5%,1,No Rating
ETWS818,ECLR653,469000,445550,5%,1,5.0
ETWS818,ECLR937,469000,445550,5%,0,No Rating
ETWS818,ECLR596,469000,445550,5%,0,No Rating
ETWS818,ECLR699,469000,445550,5%,1,5.0
ETWS665,ECLR848,999999,999999,No Discount,6,5.0
ETWS413,ECLR596,99000,94050,5%,1,No Rating
ETWS899,ECLR699,599000,569050,5%,4,No Rating
ETWS899,ECLR937,599000,509150,15%,1,No Rating
ETWS416,ECLR596,529000,396750,25%,2,No Rating
ETWS088,ECLR937,529000,396750,25%,2,5.0
ETWS416,ECLR699,529000,396750,25%,7,5.0
ETWS497,ECLR699,309000,309000,No Discount,6,5.0
ETWS497,ECLR004,309000,293550,5%,5,5.0
ETWS603,ECLR821,499000,399200,20%,6,5.0
ETWS603,ECLR596,499000,374250,25%,3,5.0
ETWS975,ECLR095,499000,324350,35%,1,5.0
ETWS684,ECLR821,519000,363300,30%,3,5.0
ETWS684,ECLR854,519000,363300,30%,3,No Rating
ETWS616,ECLR100,219000,208050,5%,6,5.0
ETWS616,ECLR937,219000,219000,No Discount,9,5.0
ETWS471,ECLR854,389000,272300,30%,3,5.0
ETWS471,ECLR456,389000,272300,30%,1,5.0
ETWS471,ECLR821,389000,272300,30%,3,5.0
ETWS205,ECLR821,209000,156750,25%,6,5.0
ETWS205,ECLR699,209000,192280,8%,8,5.0
ETWS881,ECLR307,339000,339000,No Discount,0,No Rating
ETWS881,ECLR456,339000,237300,30%,5,No Rating
ETWS881,ECLR600,339000,237300,30%,7,5.0
ETWS881,ECLR004,339000,237300,30%,18,5.0
ETWS696,ECLR684,299000,275080,8%,10,5.0
ETWS696,ECLR684,299000,275080,8%,10,5.0
ETWS696,ECLR004,299000,275080,8%,18,5.0
ETWS613,ECLR854,539000,350350,35%,1,No Rating
ETWS613,ECLR456,539000,350350,35%,3,No Rating
ETWS798,ECLR937,319000,293480,8%,4,5.0
ETWS798,ECLR684,319000,293480,8%,4,5.0
ETWS798,ECLR684,319000,293480,8%,4,5.0
ETWS627,ECLR821,549000,505080,8%,8,5.0
ETWS627,ECLR095,549000,521550,5%,24,5.0
ETWS627,ECLR854,549000,521550,5%,4,5.0
ETWS627,ECLR004,549000,521550,5%,12,5.0
ETWS409,ECLR307,149000,74500,50%,4,5.0
ETWS409,ECLR004,149000,74500,50%,5,5.0
ETWS409,ECLR821,149000,74500,50%,1,No Rating
ETWS409,ECLR685,149000,74500,50%,1,No Rating
ETWS082,ECLR307,449000,224500,50%,13,5.0
