order_id,reviewer_id,product_id,review_text,rating,review_date
ORDTAF43FAFB86,CSTM840A8,ETWSEBD59A,"Modelnya trendi, saya suka!",4.5,2025-03-26
ORDTAF43FAFB86,CSTM840A8,ETWS449EE0,"Bagus, tapi harap diperhatikan kualitas resletingnya.",3.5,2025-03-23
ORDTAF43FAFB86,CSTM840A8,ETWS7AB452,"Harga sesuai dengan kualitas, tidak mengecewakan.",3.0,2025-03-06
ORDT71B59755A4,CSTMD8294,ETWS32F890,Pengiriman cepat dan kemasannya rapi!,1.0,2024-06-18
ORDT71B59755A4,CSTMD8294,ETWSF91D41,"Modelnya trendi, saya suka!",3.0,2025-01-17
ORDT71B59755A4,CSTMD8294,ETWS16C89D,"Bahan berkualitas, jahitan rapi. Sangat puas!",3.5,2024-11-15
ORDTA6A5B39158,CSTMCCCC3,ETWS79A897,"Ukuran sesuai deskripsi, bisa muat banyak barang.",3.5,2024-11-17
ORDTBAC4C9A81D,CSTM05CA1,ETWS891996,Pengiriman cepat dan kemasannya rapi!,2.5,2025-01-10
ORDTBAC4C9A81D,CSTM05CA1,ETWS0FE105,"Bahan berkualitas, jahitan rapi. Sangat puas!",4.0,2024-06-11
ORDTBAC4C9A81D,CSTM05CA1,ETWSAF3337,"Modelnya trendi, saya suka!",2.5,2024-11-10
ORDT899203EA8E,CSTM854AA,ETWS4349CE,Tasnya sangat bagus dan kuat!,2.0,2024-11-16
ORDT812FCF70EC,CSTMF8169,ETWS957CDD,"Harga sesuai dengan kualitas, tidak mengecewakan.",2.5,2025-01-02
ORDTDC2231F1F8,CSTM9CC0D,ETWSBEE4A4,"Bagus, tapi harap diperhatikan kualitas resletingnya.",4.0,2025-01-04
ORDTDC2231F1F8,CSTM9CC0D,ETWSBB9309,"Bahan berkualitas, jahitan rapi. Sangat puas!",4.0,2025-01-11
ORDTDC2231F1F8,CSTM9CC0D,ETWS48117D,"Ukuran sesuai deskripsi, bisa muat banyak barang.",2.5,2025-03-16
ORDT58DF2FAC53,CSTMCDB51,ETWS093D85,"Ukuran sesuai deskripsi, bisa muat banyak barang.",3.0,2024-12-13
