product_id,category_id,color_id,stock
ETWS885,ECAT190,ECLR919,16
ETWS885,ECAT190,ECLR596,2
ETWS673,ECAT772,ECLR919,42
ETWS673,ECAT772,ECLR596,33
ETWS673,ECAT772,ECLR821,47
ETWS177,ECAT563,ECLR102,49
ETWS177,ECAT563,ECLR684,32
ETWS177,ECAT563,ECLR600,33
ETWS177,ECAT563,ECLR004,22
ETWS403,ECAT220,ECLR780,44
ETWS403,ECAT220,ECLR754,34
ETWS403,ECAT220,ECLR699,21
ETWS403,ECAT220,ECLR004,32
ETWS831,ECAT220,ECLR699,41
ETWS831,ECAT220,ECLR854,40
ETWS831,ECAT220,ECLR937,18
ETWS831,ECAT220,ECLR653,24
ETWS039,ECAT772,ECLR848,50
ETWS980,ECAT772,ECLR848,7
ETWS315,ECAT772,ECLR848,41
ETWS163,ECAT772,ECLR848,10
ETWS752,ECAT772,ECLR848,39
ETWS263,ECAT190,ECLR919,15
ETWS263,ECAT190,ECLR970,31
ETWS756,ECAT141,ECLR754,50
ETWS756,ECAT141,ECLR596,14
ETWS756,ECAT141,ECLR813,4
ETWS205,ECAT190,ECLR919,17
ETWS205,ECAT190,ECLR684,43
ETWS629,ECAT460,ECLR699,38
ETWS629,ECAT460,ECLR653,40
ETWS362,ECAT772,ECLR100,5
ETWS362,ECAT772,ECLR307,37
ETWS362,ECAT772,ECLR095,29
ETWS362,ECAT772,ECLR780,31
ETWS362,ECAT772,ECLR305,40
ETWS362,ECAT772,ECLR684,31
ETWS097,ECAT460,ECLR653,32
ETWS097,ECAT460,ECLR699,31
ETWS097,ECAT460,ECLR937,3
ETWS097,ECAT460,ECLR004,19
ETWS663,ECAT772,ECLR596,31
ETWS663,ECAT772,ECLR780,15
ETWS663,ECAT772,ECLR684,16
ETWS663,ECAT772,ECLR919,27
ETWS663,ECAT772,ECLR126,13
ETWS426,ECAT772,ECLR699,13
ETWS426,ECAT772,ECLR653,0
ETWS426,ECAT772,ECLR115,35
ETWS426,ECAT772,ECLR684,18
ETWS426,ECAT772,ECLR004,22
ETWS139,ECAT563,ECLR684,0
ETWS139,ECAT563,ECLR754,43
ETWS139,ECAT563,ECLR813,8
ETWS017,ECAT141,ECLR780,50
ETWS017,ECAT141,ECLR684,48
ETWS017,ECAT141,ECLR596,17
ETWS149,ECAT190,ECLR095,26
ETWS149,ECAT190,ECLR780,8
ETWS748,ECAT220,ECLR919,2
ETWS748,ECAT220,ECLR813,33
ETWS748,ECAT220,ECLR126,6
ETWS753,ECAT220,ECLR754,6
ETWS753,ECAT220,ECLR684,33
ETWS753,ECAT220,ECLR813,20
ETWS753,ECAT220,ECLR126,17
ETWS598,ECAT563,ECLR305,34
ETWS805,ECAT563,ECLR685,23
ETWS805,ECAT563,ECLR684,1
ETWS998,ECAT563,ECLR919,46
ETWS998,ECAT563,ECLR126,5
ETWS616,ECAT772,ECLR780,7
ETWS616,ECAT772,ECLR699,20
