color_id,color
ECLR336,LIGHT PINK
ECLR583,DARK OLIVE
ECLR877,SKY BLUE
ECLR657,DARK GREEN
ECLR886,LIGHT BROWN
ECLR833,DARK PURPLE
ECLR955,BLACK
ECLR519,BLUEBERRY
ECLR249,LIGHT YELLOW
ECLR874,BEIGE
ECLR664,GREEN ARMY
ECLR155,DARK BLUE
ECLR516,MAROON
ECLR371,Tidak ada spesifikasi warna
ECLR451,DARK GREY
ECLR677,PURPLE
ECLR199,EMERALD GREEN
ECLR628,FUCHSIA
ECLR886,PINK
ECLR731,CREAM
ECLR646,NAVY
ECLR031,RED
ECLR072,LIGHT BLUE
ECLR707,LIGHT PURPLE
ECLR927,CURRY
ECLR708,SALMON
ECLR399,LIME
ECLR430,GREEN
ECLR340,DARK SALEM
ECLR098,BLUE
ECLR751,BROWN
ECLR246,MINT GREEN
ECLR741,LIGHT GREY
ECLR054,OLIVE
ECLR803,GREY
ECLR504,DARK ORANGE
ECLR812,ORANGE
ECLR606,YELLOW
ECLR819,DARK BROWN
ECLR346,LIGHT GREEN
ECLR815,GOLD
