product_id,name_product
ETWS800,EXSPORT SCHOLAR BACKPACK TWO TONE 
ETWS969,EXSPORT POCA CARD WALLET 
ETWS804,EXSPORT ALL SET MULTIPURPOSE POUCH 
ETWS122,EXSPORT BASIC HALF MOON MINI SLING BAG 
ETWS896,EXSPORT BASIC HALF MOON SLING BAG L 
ETWS555,EXSPORT JOYFUL PACK BUNDLE
ETWS164,EXSPORT FESTIVE PACK BUNDLE
ETWS605,EXSPORT SPARKS PACK BUNDLE
ETWS478,EXSPORT RETURN PACK BUNDLE
ETWS244,EXSPORT HOMECOMING PACK BUNDLE
ETWS078,EXSPORT CLASSIC RR01 1979 BACKPACK 
ETWS370,EXSPORT EVERYDAY LAPTOP COMPARTMENT BAG 
ETWS080,EXSPORT EASY GOING MINI BACKPACK 
ETWS596,EXSPORT KUMARA TOTE BAG 
ETWS363,EXSPORT DAILY CARRY HAND BAG 
ETWS743,EXSPORT FLOW AND GO 102 TOTE BAG 
ETWS785,EXSPORT EVERYDAY LANYARD 
ETWS577,EXSPORT SHOULDER PADS EXTENSION 
ETWS394,EXSPORT SQUARE COIN POUCH 
ETWS157,EXSPORT DAILY LAPTOP HANDBAG 
ETWS483,EXSPORT FLEUR
ETWS135,EXSPORT GO ACTIVE MINI SLING BAG 
ETWS395,EXSPORT BASIC CUBICAL SLING POUCH 
ETWS359,EXSPORT TRIANGLE COIN POUCH 
ETWS225,EXSPORT BIMBLE COIN POUCH 
ETWS797,TAS EXSPORT BIMBLE COIN POUCH 
ETWS216,TAS EXSPORT BASIC TWO WAY CARRY 
ETWS128,TAS EXSPORT REROUND MINI SLING BAG 
ETWS855,TAS EXSPORT HANDLE MULTIPURPOSE POUCH 
ETWS854,TAS EXSPORT GO ACTIVE SLING BAG 
ETWS961,TAS EXSPORT EVERYDAY LAPTOP SLING BAG 
ETWS454,TAS EXSPORT MICRO TWO WAY CARRY 
ETWS581,TAS EXSPORT JUMPER MINI SLING BAG 
ETWS846,TAS EXSPORT MINGLE MINI SLING BAG 
ETWS125,TIMELESS BLOOM STICKER SHEET
ETWS934,PARTYING LIKE IT'S 1979 STICKER SHEET
ETWS358,EXSPORT LEGACY 45TH KEY CHARM
ETWS958,EXSPORT LEGACY 45TH T
ETWS338,TAS EXSPORT JUMPER RUCKSACK PLAID 
ETWS504,TAS EXSPORT CLASSIC RR01 1979 BACKPACK PLAID 
ETWS841,EXSPORT SPECIAL RANDOM GIFT 
ETWS304,TAS COIN EXSPORT ROUND COIN POUCH 
ETWS982,TAS BACKPACK EXSPORT WEEKENDER RUCKSACK 
ETWS756,TAS RANSEL EXSPORT CHIMO TWO WAY CARRY BACKPACK 
ETWS226,TAS RANSE LEXSPORT CHIMO TWO WAY CARRY BACKPACK 
ETWS412,TAS EXSPORT CLASSIC RR01 1979 MINI BACKPACK 
ETWS538,TAS EXSPORT ALL DAY 102 LAPTOP BACKPACK 
ETWS201,TAS EXSPORT GO AROUND TOTE BAG 
ETWS821,TAS EXSPORT DAILY JOURNEY LAPTOP TOTE BAG 
ETWS196,TAS EXSPORT DAILY LAPTOP HANDBAG 
ETWS876,TAS SELEMPANG EXSPORT MINGLE MINI SLING BAG 
ETWS978,TAS EXSPORT ATLAS MINI RUCKSACK 
ETWS171,TAS EXSPORT JUMPER SLING BAG 
ETWS002,TAS RANSEL EXSPORT CITY HUSTLER LAPTOP BACKPACK 
ETWS168,TAS EXSPORT KUMARA TOTE BAG 
ETWS690,TAS EXSPORT CLASSIC RR01 1979 BACKPACK XL
ETWS849,EXSPORT TRIFOLD WALLET 
ETWS249,TAS EXSPORT OUTGOING TOTE BAG 
ETWS069,EXSPORT RAIN COVER TAS 
ETWS030,TAS EXSPORT MICRO CLASSIC RR01 POUCH 
ETWS486,TAS EXSPORT TAKE A TRIP FOLDABLE BACKPACK 
