name_product,product_link,price_sale,price_original,discount,sold,rating,image_link
Exsport All Set Multipurpose Pouch - Dark Green,https://www.tokopedia.com/exsportstore/exsport-all-set-multipurpose-pouch-dark-green-1731008992947045624?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp141.550,Rp149.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/3c0d901d-d093-4183-b4d8-c442d2fc6707.jpg
Exsport All Set Multipurpose Pouch - Light Brown,https://www.tokopedia.com/exsportstore/exsport-all-set-multipurpose-pouch-light-brown-1731008993795998968?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp141.550,Rp149.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/9be261fd-abb4-47b4-a5d6-a83c9fe5c47a.jpg
Exsport All Set Multipurpose Pouch - Dark Purple,https://www.tokopedia.com/exsportstore/exsport-all-set-multipurpose-pouch-dark-purple-1731008982684108024?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp141.550,Rp149.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/2bea48ca-80c2-4895-b21a-7e919bf4dbcb.jpg
Exsport All Set Multipurpose Pouch - Black,https://www.tokopedia.com/exsportstore/exsport-all-set-multipurpose-pouch-black-1731008964968547576?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp141.550,Rp149.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/8ec2eb7b-d708-42ec-813d-35b8624ccc3d.jpg
Exsport Basic Half Moon Mini Sling Bag -  Blueberry,https://www.tokopedia.com/exsportstore/exsport-basic-half-moon-mini-sling-bag-blueberry-1731008659088377080?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/c7d49f08-5944-4490-a9f7-d796332563c3.jpg
Exsport Basic Half Moon Mini Sling Bag -  Light Yellow,https://www.tokopedia.com/exsportstore/exsport-basic-half-moon-mini-sling-bag-light-yellow-1731008638438442232?extParam=whid%3D17822218%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/0ef94c62-bfbf-4de7-ada8-62b80664e6de.jpg
Exsport Basic Half Moon Mini Sling Bag -  Beige,https://www.tokopedia.com/exsportstore/exsport-basic-half-moon-mini-sling-bag-beige-1731008636328445176?extParam=whid%3D17822218%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/e5c2ee80-12c3-4420-bb47-846769892008.jpg
Exsport Basic Half Moon Mini Sling Bag -  Black,https://www.tokopedia.com/exsportstore/exsport-basic-half-moon-mini-sling-bag-black-1731008632480433400?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,1 terjual,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/38413d8a-4b2b-4f02-8631-8a4597216771.jpg
Exsport Basic Half Moon Sling Bag L -  Beige,https://www.tokopedia.com/exsportstore/exsport-basic-half-moon-sling-bag-l-beige-1731008432940549368?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp236.550,Rp249.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/ded4d67c-5f9c-4ba1-a4b1-155a09c3c332.jpg
Exsport Basic Half Moon Sling Bag L -  Green Army,https://www.tokopedia.com/exsportstore/exsport-basic-half-moon-sling-bag-l-green-army-1731008422655657208?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp236.550,Rp249.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/0bcce8c7-c78e-4b52-b120-4144218cd2dd.jpg
Exsport Basic Half Moon Sling Bag L -  Dark Blue,https://www.tokopedia.com/exsportstore/exsport-basic-half-moon-sling-bag-l-dark-blue-1731008419244639480?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp236.550,Rp249.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/d7e77366-17cc-4f00-a039-067598384a8e.jpg
Exsport Basic Half Moon Sling Bag L -  Maroon,https://www.tokopedia.com/exsportstore/exsport-basic-half-moon-sling-bag-l-maroon-1731008408987731192?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp236.550,Rp249.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/13/9f56da13-ba07-4f87-ad62-b68a6493883e.jpg
Exsport Joyful Pack Bundle,https://www.tokopedia.com/exsportstore/exsport-joyful-pack-bundle-1730996432474572024?extParam=whid%3D17822218%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Rp499.000,Rp668.000,25%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/11/896b342b-3b13-4b48-a3cf-5b07fd5a2804.jpg
Exsport Festive Pack Bundle,https://www.tokopedia.com/exsportstore/exsport-festive-pack-bundle-1730996331969938680?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp749.000,Rp938.000,20%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/11/196db6ba-fd6d-4a19-87fd-49e952fee1f8.jpg
Exsport Sparks Pack Bundle,https://www.tokopedia.com/exsportstore/exsport-sparks-pack-bundle-1730991116625020152?extParam=whid%3D17822218%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Rp269.000,Rp338.000,20%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/10/0248624c-5a2d-4b6d-b9f9-5097f3dae077.jpg
Exsport Return Pack Bundle,https://www.tokopedia.com/exsportstore/exsport-return-pack-bundle-1730991043490776312?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp749.000,Rp938.000,20%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/11/38eb16c8-0b7e-46e2-9ac7-bb365b1e5ecc.jpg
Exsport Homecoming Pack Bundle,https://www.tokopedia.com/exsportstore/exsport-homecoming-pack-bundle-1730991003106510072?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp499.000,Rp668.000,25%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/11/b5a7632e-2c0a-4956-b8cf-e64b88f205e1.jpg
"Exsport Classic ""RR01 1979"" Backpack -  Light Pink",https://www.tokopedia.com/exsportstore/exsport-classic-rr01-1979-backpack-light-pink-1730975085418808568?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp426.550,Rp449.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/7/5fb45173-54f4-4349-ab81-5bb8133a2551.jpg
"Exsport Classic ""RR01 1979"" Backpack -  Dark Grey",https://www.tokopedia.com/exsportstore/exsport-classic-rr01-1979-backpack-dark-grey-1730975084368528632?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp426.550,Rp449.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/7/69550b96-f294-4ef1-bbba-93a2e0174c21.jpg
Exsport Everyday Laptop Compartment Bag -  Light Yellow,https://www.tokopedia.com/exsportstore/exsport-everyday-laptop-compartment-bag-light-yellow-1730965249101694200?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp312.550,Rp329.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/5338df7a-2f0b-451e-96ae-8711ddeaf29c.jpg
Exsport Everyday Laptop Compartment Bag -  Dark Olive,https://www.tokopedia.com/exsportstore/exsport-everyday-laptop-compartment-bag-dark-olive-1730965251115287800?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp312.550,Rp329.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/bcf07c04-76ca-4d05-87f9-71f9a1ee5757.jpg
Exsport Everyday Laptop Compartment Bag -  Purple,https://www.tokopedia.com/exsportstore/exsport-everyday-laptop-compartment-bag-purple-1730965248827032824?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp312.550,Rp329.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/1958d80c-6799-46f9-86a7-746f2ee62d57.jpg
Exsport Easy Going Mini Backpack -  Light Pink,https://www.tokopedia.com/exsportstore/exsport-easy-going-mini-backpack-light-pink-1730965132959450360?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp284.050,Rp299.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/a170a1a6-d6a4-4e0c-a2b6-1c3de0c14e94.jpg
Exsport Easy Going Mini Backpack -  Emerald Green,https://www.tokopedia.com/exsportstore/exsport-easy-going-mini-backpack-emerald-green-1730965129586443512?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp284.050,Rp299.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/a0f7dbfc-1ff5-420c-adc9-08b301d2a9e1.jpg
Exsport Kumara Tote Bag -  Beige,https://www.tokopedia.com/exsportstore/exsport-kumara-tote-bag-beige-1730965082423526648?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp303.050,Rp319.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/2c012535-0364-4e14-9dac-43743d7aa581.jpg
Exsport Kumara Tote Bag -  Maroon,https://www.tokopedia.com/exsportstore/exsport-kumara-tote-bag-maroon-1730965072737240312?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp303.050,Rp319.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/769fb974-ec2c-47f3-b038-0d2a44e3f9e7.jpg
Exsport Daily Carry Hand Bag - Fucshia,https://www.tokopedia.com/exsportstore/exsport-daily-carry-hand-bag-fucshia-1730964296116897016?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp122.550,Rp129.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/5c5cbc2a-1494-48b6-9242-8e225de40245.jpg
Exsport Daily Carry Hand Bag - Pink,https://www.tokopedia.com/exsportstore/exsport-daily-carry-hand-bag-pink-1730964295832798456?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp122.550,Rp129.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/3/5/851339a7-48ec-4311-842a-25e9365a65f7.jpg
