order_id,reviewer_id,product_id,review_text,rating,review_date
ORDT089554,CSTM91355,ETWS101,Tasnya sangat bagus dan kuat!,4.5,2024-06-22
ORDT903546,CSTM84275,ETWS980,Tasnya sangat bagus dan kuat!,3.0,2024-04-10
ORDT903546,CSTM84275,ETWS305,"Bagus, tapi harap diperhatikan kualitas resletingnya.",2.0,2024-06-29
ORDT903546,CSTM84275,ETWS146,"Harga sesuai dengan kualitas, tidak mengecewakan.",5.0,2024-08-29
ORDT381157,CSTM06071,ETWS504,"Modelnya trendi, saya suka!",3.0,2025-01-21
ORDT381157,CSTM06071,ETWS710,"Warnanya cantik, persis seperti di foto.",2.0,2025-03-08
ORDT381157,CSTM06071,ETWS118,"Warnanya cantik, persis seperti di foto.",4.0,2025-02-03
ORDT744220,CSTM03242,ETWS317,Pengiriman cepat dan kemasannya rapi!,4.5,2025-03-02
ORDT744220,CSTM03242,ETWS647,"Tasnya nyaman dipakai, cocok untuk sehari-hari.",4.0,2025-03-14
ORDT744220,CSTM03242,ETWS883,"Harga sesuai dengan kualitas, tidak mengecewakan.",4.0,2025-02-20
ORDT682148,CSTM22841,ETWS857,Pengiriman cepat dan kemasannya rapi!,2.0,2025-03-17
ORDT682148,CSTM22841,ETWS289,"Ukuran sesuai deskripsi, bisa muat banyak barang.",2.5,2025-02-19
ORDT682148,CSTM22841,ETWS791,Tasnya sangat bagus dan kuat!,1.5,2025-03-24
ORDT813201,CSTM73104,ETWS533,Pengiriman cepat dan kemasannya rapi!,4.5,2025-03-14
ORDT813201,CSTM73104,ETWS139,"Bagus, tapi harap diperhatikan kualitas resletingnya.",1.0,2025-02-21
ORDT816141,CSTM06245,ETWS335,"Modelnya trendi, saya suka!",1.5,2024-12-15
ORDT816141,CSTM06245,ETWS564,"Lumayan, tapi kualitas tali kurang kuat.",4.5,2024-11-27
ORDT816141,CSTM06245,ETWS960,"Tasnya nyaman dipakai, cocok untuk sehari-hari.",4.0,2025-02-06
ORDT221529,CSTM24158,ETWS289,Tasnya sangat bagus dan kuat!,3.5,2024-10-11
ORDT714344,CSTM32028,ETWS043,"Lumayan, tapi kualitas tali kurang kuat.",4.0,2025-02-06
ORDT708107,CSTM38574,ETWS193,Tasnya sangat bagus dan kuat!,5.0,2024-09-10
ORDT708107,CSTM38574,ETWS304,"Bahan berkualitas, jahitan rapi. Sangat puas!",4.0,2025-03-08
ORDT708107,CSTM38574,ETWS552,"Lumayan, tapi kualitas tali kurang kuat.",1.0,2024-11-24
ORDT959232,CSTM59992,ETWS450,Pengiriman cepat dan kemasannya rapi!,3.0,2024-11-27
ORDT959232,CSTM59992,ETWS998,"Warnanya cantik, persis seperti di foto.",2.5,2025-01-12
ORDT959232,CSTM59992,ETWS598,Pengiriman cepat dan kemasannya rapi!,3.5,2025-01-23
ORDT744891,CSTM30068,ETWS209,"Bahan berkualitas, jahitan rapi. Sangat puas!",4.5,2025-03-06
ORDT744891,CSTM30068,ETWS397,"Bahan berkualitas, jahitan rapi. Sangat puas!",3.5,2024-12-28
ORDT206335,CSTM00938,ETWS089,"Bagus, tapi harap diperhatikan kualitas resletingnya.",3.0,2024-05-15
ORDT206335,CSTM00938,ETWS885,Tasnya sangat bagus dan kuat!,1.5,2025-03-08
ORDT107163,CSTM23210,ETWS105,"Lumayan, tapi kualitas tali kurang kuat.",5.0,2024-10-18
ORDT073427,CSTM30656,ETWS732,"Tasnya nyaman dipakai, cocok untuk sehari-hari.",2.5,2025-01-11
ORDT551052,CSTM11143,ETWS850,"Harga sesuai dengan kualitas, tidak mengecewakan.",2.0,2024-11-03
ORDT551052,CSTM11143,ETWS288,"Tasnya nyaman dipakai, cocok untuk sehari-hari.",4.5,2024-01-20
ORDT551052,CSTM11143,ETWS153,"Warnanya cantik, persis seperti di foto.",2.0,2025-02-02
ORDT901121,CSTM46933,ETWS830,"Warnanya cantik, persis seperti di foto.",3.5,2024-05-24
ORDT901121,CSTM46933,ETWS654,"Modelnya trendi, saya suka!",2.0,2024-09-18
ORDT901121,CSTM46933,ETWS219,"Tasnya nyaman dipakai, cocok untuk sehari-hari.",2.5,2024-09-08
ORDT335988,CSTM60688,ETWS889,"Lumayan, tapi kualitas tali kurang kuat.",4.5,2024-08-07
ORDT335988,CSTM60688,ETWS604,"Warnanya cantik, persis seperti di foto.",1.5,2024-10-26
ORDT644203,CSTM89680,ETWS012,"Warnanya cantik, persis seperti di foto.",4.0,2025-03-28
ORDT644203,CSTM89680,ETWS089,"Lumayan, tapi kualitas tali kurang kuat.",2.0,2025-01-29
ORDT644203,CSTM89680,ETWS984,"Tasnya nyaman dipakai, cocok untuk sehari-hari.",1.5,2025-02-24
ORDT260639,CSTM49715,ETWS774,"Lumayan, tapi kualitas tali kurang kuat.",2.0,2024-09-01
ORDT260639,CSTM49715,ETWS413,"Bahan berkualitas, jahitan rapi. Sangat puas!",1.5,2025-01-10
ORDT260639,CSTM49715,ETWS564,"Bagus, tapi harap diperhatikan kualitas resletingnya.",4.5,2024-09-11
ORDT824659,CSTM81064,ETWS647,"Ukuran sesuai deskripsi, bisa muat banyak barang.",3.5,2025-02-02
ORDT824659,CSTM81064,ETWS442,"Warnanya cantik, persis seperti di foto.",3.0,2024-11-18
ORDT824659,CSTM81064,ETWS846,Pengiriman cepat dan kemasannya rapi!,3.0,2025-01-14
ORDT922992,CSTM82833,ETWS444,Pengiriman cepat dan kemasannya rapi!,4.5,2025-03-03
ORDT922992,CSTM82833,ETWS236,"Bagus, tapi harap diperhatikan kualitas resletingnya.",1.0,2025-03-25
ORDT668644,CSTM74825,ETWS020,Tasnya sangat bagus dan kuat!,4.0,2025-01-03
ORDT742451,CSTM33443,ETWS555,"Bagus, tapi harap diperhatikan kualitas resletingnya.",1.5,2025-01-11
ORDT742451,CSTM33443,ETWS562,"Ukuran sesuai deskripsi, bisa muat banyak barang.",1.5,2024-12-09
ORDT768819,CSTM02274,ETWS885,"Lumayan, tapi kualitas tali kurang kuat.",2.5,2024-10-25
