Order_ID,Customer_ID,Products,Order_Date,Order_Status,Shipping_Method,Payment_Method,Total_Price
ORDT71817,CSTM094,"ETWS359 (x1, Rp144000)",2024-06-15,Selesai,JNE,Transfer Bank - Mandiri,144000
ORDT66762,CSTM606,"ETWS261 (x2, Rp85000); ETWS005 (x3, Rp55000)",2025-02-01,Selesai,SiCepat,Transfer Bank - Mandiri,335000
ORDT49410,CSTM925,"ETWS067 (x2, Rp137500)",2024-09-26,Selesai,JNE,OVO,275000
ORDT98437,CSTM274,"ETWS686 (x3, Rp49000); ETWS328 (x1, Rp79000); ETWS133 (x2, Rp167200)",2024-10-03,Selesai,JNE,DANA,560400
ORDT48002,CSTM031,"ETWS005 (x1, Rp55000); ETWS412 (x1, Rp151050); ETWS425 (x1, Rp302680)",2024-04-15,Selesai,SiCepat,OVO,508730
ORDT56797,CSTM436,"ETWS745 (x2, Rp399000); ETWS682 (x1, Rp279000)",2024-07-08,Selesai,J&T,Transfer Bank - BCA,1077000
ORDT03050,CSTM250,"ETWS259 (x1, Rp249000)",2024-01-16,Selesai,JNE,Transfer Bank - BRI,249000
ORDT93369,CSTM720,"ETWS544 (x1, Rp141550)",2024-12-07,Selesai,JNE,OVO,141550
ORDT52942,CSTM282,"ETWS265 (x3, Rp104500); ETWS384 (x3, Rp445000); ETWS194 (x2, Rp5000)",2024-05-30,Selesai,JNE,Transfer Bank - BNI,1658500
ORDT28557,CSTM431,"ETWS013 (x2, Rp429000)",2024-08-06,Selesai,SiCepat,COD,858000
ORDT53807,CSTM907,"ETWS005 (x3, Rp55000); ETWS721 (x1, Rp199000); ETWS440 (x3, Rp502550)",2024-02-29,Selesai,JNE,Transfer Bank - BRI,1871650
ORDT43048,CSTM700,"ETWS270 (x1, Rp219000)",2024-06-30,Selesai,JNE,GoPay,219000
ORDT18179,CSTM387,"ETWS043 (x3, Rp179000); ETWS023 (x2, Rp275080); ETWS722 (x2, Rp449000)",2024-08-08,Selesai,J&T,Transfer Bank - Mandiri,1985160
ORDT17581,CSTM537,"ETWS048 (x3, Rp249000); ETWS486 (x1, Rp109000); ETWS573 (x1, Rp209300)",2024-04-17,Selesai,SiCepat,Transfer Bank - BCA,1065300
ORDT74756,CSTM306,"ETWS897 (x2, Rp151050); ETWS862 (x2, Rp419000); ETWS956 (x2, Rp396750)",2024-06-09,Selesai,JNE,Transfer Bank - BRI,1933600
ORDT12056,CSTM349,"ETWS134 (x2, Rp279000); ETWS968 (x3, Rp293480)",2024-07-30,Selesai,SiCepat,DANA,1438440
ORDT91323,CSTM300,"ETWS811 (x1, Rp289000); ETWS029 (x1, Rp239000)",2025-02-17,Dikirim,J&T,COD,528000
ORDT81771,CSTM506,"ETWS721 (x1, Rp199000)",2024-01-05,Selesai,JNE,Transfer Bank - BCA,199000
ORDT28098,CSTM530,"ETWS995 (x1, Rp489000); ETWS735 (x1, Rp275000)",2024-06-07,Selesai,SiCepat,Transfer Bank - BRI,764000
ORDT25608,CSTM968,"ETWS011 (x2, Rp95400); ETWS649 (x3, Rp95200); ETWS937 (x3, Rp499000)",2024-04-01,Selesai,J&T,Transfer Bank - BRI,1973400
ORDT37045,CSTM846,"ETWS600 (x1, Rp237300); ETWS911 (x2, Rp151050); ETWS021 (x2, Rp227050)",2024-11-19,Selesai,J&T,GoPay,993500
ORDT59622,CSTM056,"ETWS070 (x3, Rp179000); ETWS117 (x3, Rp129000); ETWS483 (x3, Rp329000)",2024-09-15,Selesai,JNE,OVO,1911000
ORDT20392,CSTM243,"ETWS447 (x1, Rp312550); ETWS111 (x1, Rp479000); ETWS039 (x3, Rp69000)",2025-02-03,Selesai,J&T,OVO,998550
ORDT53223,CSTM504,"ETWS162 (x1, Rp159000); ETWS270 (x1, Rp219000); ETWS139 (x3, Rp159000)",2024-03-03,Selesai,SiCepat,Transfer Bank - BCA,855000
ORDT52460,CSTM348,"ETWS341 (x1, Rp329000); ETWS497 (x1, Rp369550); ETWS997 (x3, Rp272300)",2024-04-17,Selesai,SiCepat,COD,1515450
ORDT33958,CSTM342,"ETWS672 (x3, Rp749000)",2024-06-21,Selesai,J&T,DANA,2247000
ORDT63298,CSTM316,"ETWS696 (x1, Rp284050)",2025-02-23,Dikirim,JNE,DANA,284050
ORDT48428,CSTM247,"ETWS188 (x2, Rp144500); ETWS408 (x2, Rp164500)",2024-03-26,Selesai,JNE,Transfer Bank - BCA,618000
ORDT74188,CSTM002,"ETWS576 (x1, Rp464550)",2024-03-25,Selesai,J&T,OVO,464550
ORDT16855,CSTM592,"ETWS136 (x1, Rp87600)",2024-01-02,Selesai,SiCepat,OVO,87600
ORDT04922,CSTM123,"ETWS868 (x3, Rp95000)",2024-05-06,Selesai,J&T,DANA,285000
ORDT03081,CSTM430,"ETWS491 (x1, Rp75050); ETWS847 (x2, Rp479000); ETWS945 (x1, Rp161850)",2024-01-26,Selesai,JNE,COD,1194900
ORDT02288,CSTM541,"ETWS610 (x1, Rp389000)",2024-07-27,Selesai,J&T,OVO,389000
ORDT80998,CSTM858,"ETWS839 (x1, Rp249000); ETWS425 (x1, Rp302680)",2024-10-14,Selesai,JNE,Transfer Bank - BRI,551680
ORDT96514,CSTM566,"ETWS870 (x3, Rp422280); ETWS316 (x3, Rp244300)",2024-01-30,Selesai,JNE,OVO,1999740
ORDT38205,CSTM240,"ETWS931 (x1, Rp75050)",2025-01-22,Selesai,J&T,Transfer Bank - BCA,75050
ORDT94775,CSTM953,"ETWS783 (x1, Rp569050); ETWS524 (x1, Rp171600)",2024-09-06,Selesai,J&T,Transfer Bank - Mandiri,740650
ORDT21216,CSTM007,"ETWS792 (x3, Rp429000); ETWS416 (x1, Rp616550); ETWS571 (x3, Rp692550)",2024-11-08,Selesai,J&T,DANA,3981200
ORDT20215,CSTM662,"ETWS868 (x3, Rp95000); ETWS170 (x2, Rp569050); ETWS499 (x3, Rp279000)",2024-04-27,Selesai,J&T,GoPay,2260100
ORDT80625,CSTM593,"ETWS446 (x1, Rp149500); ETWS649 (x3, Rp95200)",2024-12-30,Selesai,J&T,OVO,435100
ORDT16401,CSTM404,"ETWS954 (x1, Rp449000); ETWS610 (x2, Rp389000); ETWS402 (x3, Rp181300)",2024-11-03,Selesai,JNE,Transfer Bank - BNI,1770900
ORDT45916,CSTM937,"ETWS949 (x1, Rp439000); ETWS871 (x3, Rp229000); ETWS491 (x1, Rp75050)",2024-07-06,Selesai,J&T,OVO,1201050
ORDT57872,CSTM159,"ETWS177 (x3, Rp209000); ETWS161 (x1, Rp259000); ETWS997 (x1, Rp272300)",2024-03-12,Selesai,J&T,Transfer Bank - BRI,1158300
ORDT76758,CSTM154,"ETWS225 (x1, Rp399000)",2024-05-02,Selesai,J&T,DANA,399000
ORDT73456,CSTM759,"ETWS197 (x3, Rp272300); ETWS911 (x2, Rp151050); ETWS877 (x2, Rp104500)",2024-04-13,Selesai,JNE,OVO,1328000
ORDT53919,CSTM857,"ETWS909 (x1, Rp129000)",2024-10-08,Selesai,J&T,Transfer Bank - BNI,129000
ORDT87972,CSTM519,"ETWS958 (x2, Rp156750); ETWS762 (x1, Rp350350)",2024-09-22,Selesai,SiCepat,COD,663850
ORDT54089,CSTM735,"ETWS647 (x2, Rp153300)",2024-12-11,Selesai,J&T,OVO,306600
ORDT84468,CSTM168,"ETWS124 (x1, Rp198550)",2024-09-23,Selesai,SiCepat,Transfer Bank - BRI,198550
ORDT17625,CSTM315,"ETWS805 (x3, Rp113050); ETWS005 (x3, Rp55000); ETWS321 (x2, Rp79000)",2025-01-01,Selesai,JNE,Transfer Bank - BCA,662150
ORDT36925,CSTM689,"ETWS811 (x1, Rp289000)",2024-02-27,Selesai,SiCepat,OVO,289000
ORDT63701,CSTM794,"ETWS204 (x3, Rp239200)",2025-01-10,Selesai,SiCepat,COD,717600
ORDT57440,CSTM803,"ETWS110 (x2, Rp129000); ETWS234 (x2, Rp179000); ETWS534 (x1, Rp493050)",2024-07-13,Selesai,JNE,DANA,1109050
ORDT97630,CSTM540,"ETWS204 (x2, Rp239200); ETWS700 (x2, Rp383200)",2024-10-20,Selesai,J&T,DANA,1244800
ORDT85818,CSTM249,"ETWS189 (x2, Rp505080); ETWS384 (x1, Rp445000); ETWS877 (x1, Rp104500)",2024-06-19,Selesai,J&T,Transfer Bank - BCA,1559660
ORDT22853,CSTM127,"ETWS321 (x1, Rp79000); ETWS399 (x2, Rp49000); ETWS549 (x2, Rp208050)",2024-08-05,Selesai,SiCepat,Transfer Bank - BRI,593100
ORDT12335,CSTM576,"ETWS346 (x1, Rp569050)",2025-02-01,Selesai,J&T,DANA,569050
ORDT03612,CSTM702,"ETWS117 (x3, Rp129000)",2024-12-18,Selesai,JNE,Transfer Bank - Mandiri,387000
